id,release_date,Impressions,views,Stayed_to_watch,length,avg_view_duration,like,comment,subscribe,
EP01,2025-06-16,32,11,0.37,14,18,0,0,0,
EP02,2025-06-24,24,10,0.435,12,20,0,0,0,
EP03,2025-06-30,1500,317,0.223,14,18,0,0,0,
EP04,2025-07-08,23,10,0.5,15,15,0,0,0,
EP05,2025-07-17,1811,508,0.28,11,11,0,0,0,
EP06,2025-07-22,2000,595,0.391,13,7,0,0,2,
EP07,2025-07-28,2219,908,0.278,9,11,0,0,1,
EP08,2025-08-05,2765,836,0.348,11,14,0,0,1,
EP09,2025-08-15,1509,530,0.428,11,12,0,0,3,
EP10,2025-08-22,8663,3200,0.614,7,11,0,0,4,
EP11,2025-08-29,2086,645,0.456,7,14,0,0,3,
EP12,2025-09-05,5869,2300,0.624,6,11,0,0,3,
EP13,2025-09-12,52,25,0.733,10,12,0,0,0,
EP14,2025-09-19,8417,3700,0.734,7,10,0,0,1,
EP15,2025-09-26,3602,1400,0.636,6,10,0,0,9,
EP16,2025-10-03,2000,516,0.345,6,10,0,0,2,
EP17,2025-10-10,1800,701,0.582,7,8,0,0,6,
EP18,2025-10-17,8900,3500,0.618,7,18,0,0,6,